,Value,Model,Label,SWF,Metrics,Error
326,0.7764288382517743,QDA,2,w/ SWF,Recall,0.22357116174822567
327,1.0,QDA,3,w/ SWF,Recall,0.0
328,0.6729279628195197,QDA,4,w/ SWF,Recall,0.3270720371804803
329,0.9623580959968134,QDA,5,w/ SWF,Recall,0.037641904003186566
330,0.8279132791327913,QDA,6,w/ SWF,Recall,0.17208672086720866
331,0.9592386079600077,QDA,7,w/ SWF,Recall,0.040761392039992295
332,0.7690263807174037,QDA,8,w/ SWF,Recall,0.2309736192825963
333,0.7929634641407307,QDA,0,w/ SWF,Recall,0.2070365358592693
334,0.602294826915597,QDA,1,w/ SWF,Recall,0.397705173084403
335,0.7778209361040979,QDA,2,w/ SWF,Recall,0.22217906389590214
336,0.9994246260069045,QDA,3,w/ SWF,Recall,0.0005753739930954849
337,0.6625850340136055,QDA,4,w/ SWF,Recall,0.33741496598639453
338,0.9533826037521319,QDA,5,w/ SWF,Recall,0.04661739624786809
339,0.8618845657385211,QDA,6,w/ SWF,Recall,0.13811543426147888
340,0.9637245392822502,QDA,7,w/ SWF,Recall,0.036275460717749786
341,0.7868020304568528,QDA,8,w/ SWF,Recall,0.21319796954314718
342,0.7883649014302281,QDA,0,w/ SWF,Recall,0.21163509856977192
343,0.6269719122739515,QDA,1,w/ SWF,Recall,0.37302808772604845
344,0.77285050348567,QDA,2,w/ SWF,Recall,0.22714949651433003
345,0.9994192799070848,QDA,3,w/ SWF,Recall,0.0005807200929152101
346,0.7098777411216767,QDA,4,w/ SWF,Recall,0.2901222588783233
347,0.9553981623277182,QDA,5,w/ SWF,Recall,0.04460183767228176
348,0.8849642926076047,QDA,6,w/ SWF,Recall,0.11503570739239533
349,0.961376673040153,QDA,7,w/ SWF,Recall,0.03862332695984705
350,0.7851224105461394,QDA,8,w/ SWF,Recall,0.2148775894538606
351,0.7947388632872504,QDA,0,w/ SWF,Recall,0.2052611367127496
352,0.6052631578947368,QDA,1,w/ SWF,Recall,0.39473684210526316
353,0.7627052384675528,QDA,2,w/ SWF,Recall,0.23729476153244722
354,0.9998090874379534,QDA,3,w/ SWF,Recall,0.000190912562046619
355,0.6670409882088714,QDA,4,w/ SWF,Recall,0.33295901179112863
356,0.9574670989891284,QDA,5,w/ SWF,Recall,0.04253290101087159
357,0.8550839091806516,QDA,6,w/ SWF,Recall,0.14491609081934842
358,0.9611111111111111,QDA,7,w/ SWF,Recall,0.03888888888888886
359,0.7886068591358264,QDA,8,w/ SWF,Recall,0.2113931408641736
